,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,cluster
BL01 IN,0.0,0.0,0.0,0.12,0.47,1.0,0.47,0.24,0.18,0.18,0.18,0.18,0.12,0.12,0.29,0.59,0.41,0.24,0.12,0.06,0.0,0.0,0.0,0.0,0.12,0.41,1.0,0.47,0.24,0.18,0.18,0.18,0.18,0.12,0.24,0.41,0.53,0.35,0.18,0.12,0.06,0.0,0.0,0.0,0.0,0.12,0.35,0.82,0.41,0.24,0.18,0.18,0.24,0.18,0.12,0.18,0.29,0.53,0.35,0.18,0.12,0.06,0.0,0.0,0.0,0.0,0.12,0.47,1.0,0.53,0.29,0.18,0.18,0.24,0.18,0.12,0.12,0.35,0.59,0.41,0.18,0.12,0.06,0.06,0.0,0.0,0.0,0.12,0.41,1.0,0.47,0.24,0.24,0.24,0.24,0.18,0.12,0.18,0.35,0.71,0.47,0.24,0.12,0.06,0.06,0.0,0.0,0.0,0.12,0.18,0.29,0.35,0.35,0.35,0.29,0.29,0.24,0.18,0.24,0.29,0.24,0.18,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.06,0.18,0.24,0.29,0.35,0.35,0.29,0.29,0.24,0.18,0.24,0.24,0.24,0.18,0.12,0.12,0.06,0.0,0
BL02 IN,0.0,0.0,0.0,0.08,0.54,1.0,0.62,0.38,0.29,0.25,0.25,0.21,0.17,0.17,0.29,0.46,0.29,0.17,0.12,0.08,0.04,0.0,0.0,0.0,0.08,0.5,1.0,0.58,0.33,0.29,0.25,0.25,0.17,0.17,0.21,0.33,0.42,0.25,0.12,0.08,0.04,0.04,0.0,0.0,0.0,0.08,0.42,0.79,0.5,0.29,0.25,0.25,0.25,0.21,0.17,0.17,0.29,0.38,0.25,0.12,0.08,0.08,0.04,0.0,0.0,0.0,0.08,0.5,0.96,0.67,0.38,0.29,0.25,0.25,0.21,0.17,0.17,0.33,0.5,0.29,0.17,0.12,0.08,0.04,0.0,0.0,0.0,0.08,0.46,0.96,0.58,0.38,0.29,0.29,0.29,0.25,0.21,0.21,0.38,0.54,0.38,0.21,0.12,0.08,0.04,0.0,0.0,0.0,0.04,0.21,0.33,0.38,0.46,0.5,0.42,0.38,0.33,0.25,0.25,0.29,0.29,0.21,0.17,0.12,0.12,0.08,0.0,0.0,0.0,0.04,0.12,0.25,0.33,0.38,0.42,0.38,0.33,0.29,0.25,0.25,0.29,0.29,0.21,0.21,0.21,0.12,0.04,0
BL03 IN,0.0,0.0,0.0,0.12,0.44,0.94,0.5,0.31,0.25,0.25,0.25,0.19,0.12,0.19,0.25,0.31,0.19,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.12,0.44,1.0,0.5,0.31,0.25,0.19,0.25,0.19,0.12,0.19,0.25,0.25,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.37,0.81,0.37,0.25,0.25,0.25,0.25,0.19,0.12,0.19,0.25,0.25,0.19,0.12,0.06,0.06,0.06,0.0,0.0,0.0,0.12,0.44,0.94,0.5,0.31,0.25,0.19,0.25,0.19,0.12,0.19,0.25,0.31,0.19,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.12,0.44,0.94,0.5,0.31,0.25,0.25,0.25,0.19,0.19,0.19,0.31,0.37,0.25,0.12,0.12,0.12,0.06,0.0,0.0,0.0,0.06,0.19,0.31,0.31,0.37,0.37,0.37,0.31,0.25,0.19,0.19,0.25,0.25,0.19,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.06,0.12,0.25,0.25,0.31,0.31,0.31,0.25,0.25,0.19,0.19,0.19,0.19,0.12,0.12,0.12,0.06,0.06,0
BL04 IN,0.0,0.0,0.0,0.11,0.45,0.96,0.45,0.25,0.21,0.21,0.21,0.15,0.13,0.13,0.17,0.21,0.13,0.08,0.08,0.06,0.02,0.0,0.0,0.0,0.11,0.45,1.0,0.47,0.26,0.19,0.19,0.21,0.15,0.11,0.13,0.15,0.17,0.11,0.06,0.06,0.04,0.02,0.0,0.0,0.0,0.09,0.38,0.83,0.4,0.23,0.19,0.21,0.21,0.17,0.13,0.13,0.17,0.19,0.11,0.08,0.06,0.06,0.02,0.0,0.0,0.0,0.11,0.43,0.98,0.49,0.28,0.21,0.21,0.23,0.15,0.13,0.13,0.17,0.21,0.13,0.08,0.08,0.06,0.02,0.02,0.0,0.0,0.11,0.43,0.98,0.47,0.28,0.23,0.21,0.21,0.17,0.13,0.15,0.19,0.25,0.17,0.11,0.09,0.08,0.04,0.02,0.0,0.0,0.08,0.17,0.26,0.3,0.3,0.32,0.28,0.28,0.23,0.17,0.17,0.23,0.21,0.13,0.09,0.08,0.06,0.04,0.0,0.0,0.0,0.06,0.11,0.21,0.23,0.26,0.28,0.25,0.26,0.23,0.19,0.15,0.17,0.15,0.11,0.09,0.08,0.06,0.02,0
BL05 IN,0.02,0.0,0.0,0.12,0.42,0.96,0.46,0.27,0.25,0.23,0.21,0.17,0.17,0.19,0.27,0.29,0.21,0.12,0.1,0.06,0.02,0.0,0.0,0.0,0.12,0.42,1.0,0.46,0.27,0.23,0.23,0.21,0.17,0.17,0.23,0.27,0.27,0.17,0.12,0.08,0.06,0.02,0.0,0.0,0.0,0.1,0.37,0.83,0.4,0.25,0.21,0.23,0.21,0.17,0.17,0.17,0.25,0.27,0.17,0.12,0.1,0.08,0.02,0.02,0.0,0.0,0.1,0.42,0.96,0.5,0.29,0.25,0.23,0.23,0.17,0.17,0.21,0.27,0.31,0.21,0.13,0.1,0.08,0.04,0.02,0.0,0.0,0.1,0.42,0.96,0.46,0.29,0.25,0.25,0.23,0.19,0.17,0.19,0.29,0.33,0.23,0.13,0.12,0.08,0.04,0.02,0.0,0.0,0.08,0.13,0.23,0.29,0.31,0.33,0.29,0.27,0.21,0.19,0.19,0.23,0.19,0.13,0.1,0.1,0.08,0.04,0.02,0.0,0.0,0.06,0.1,0.17,0.19,0.23,0.27,0.23,0.23,0.19,0.15,0.15,0.17,0.15,0.1,0.1,0.08,0.06,0.02,0
BL06 IN,0.02,0.0,0.0,0.1,0.4,0.97,0.52,0.3,0.25,0.23,0.27,0.23,0.2,0.22,0.28,0.28,0.2,0.17,0.2,0.2,0.07,0.02,0.0,0.0,0.1,0.4,1.0,0.52,0.32,0.25,0.25,0.25,0.22,0.18,0.22,0.28,0.27,0.18,0.13,0.17,0.17,0.05,0.02,0.0,0.0,0.08,0.35,0.83,0.43,0.28,0.23,0.23,0.25,0.23,0.2,0.22,0.28,0.28,0.18,0.15,0.2,0.2,0.07,0.02,0.0,0.0,0.1,0.4,0.97,0.53,0.32,0.27,0.25,0.27,0.23,0.2,0.23,0.32,0.32,0.2,0.17,0.2,0.2,0.07,0.03,0.0,0.0,0.1,0.4,0.98,0.52,0.33,0.27,0.27,0.27,0.23,0.22,0.25,0.32,0.35,0.25,0.22,0.23,0.25,0.1,0.03,0.0,0.0,0.07,0.17,0.27,0.3,0.35,0.35,0.35,0.37,0.32,0.3,0.33,0.38,0.33,0.23,0.22,0.25,0.25,0.1,0.02,0.0,0.0,0.05,0.12,0.2,0.25,0.3,0.32,0.32,0.32,0.32,0.28,0.27,0.33,0.28,0.22,0.2,0.2,0.17,0.07,0
BL07 IN,0.02,0.0,0.0,0.06,0.35,0.98,0.5,0.32,0.29,0.31,0.34,0.29,0.27,0.29,0.4,0.56,0.42,0.27,0.24,0.23,0.1,0.02,0.0,0.0,0.06,0.35,1.0,0.52,0.32,0.27,0.29,0.32,0.27,0.26,0.32,0.45,0.53,0.35,0.23,0.21,0.21,0.08,0.03,0.0,0.0,0.06,0.29,0.82,0.44,0.27,0.26,0.31,0.32,0.29,0.26,0.29,0.4,0.52,0.37,0.26,0.24,0.23,0.1,0.03,0.0,0.0,0.06,0.35,0.97,0.53,0.32,0.29,0.32,0.35,0.31,0.27,0.29,0.44,0.6,0.44,0.29,0.27,0.26,0.1,0.05,0.0,0.0,0.06,0.35,0.97,0.52,0.35,0.32,0.35,0.37,0.34,0.32,0.34,0.5,0.66,0.52,0.34,0.32,0.32,0.15,0.05,0.0,0.0,0.05,0.16,0.27,0.34,0.4,0.5,0.48,0.5,0.45,0.42,0.45,0.52,0.5,0.39,0.35,0.35,0.35,0.16,0.03,0.0,0.0,0.05,0.11,0.21,0.27,0.32,0.4,0.42,0.42,0.45,0.42,0.44,0.5,0.47,0.39,0.37,0.37,0.32,0.13,3
BL08 IN,0.01,0.0,0.0,0.1,0.39,0.97,0.46,0.27,0.21,0.21,0.23,0.19,0.16,0.16,0.21,0.31,0.23,0.14,0.11,0.08,0.03,0.01,0.0,0.0,0.1,0.4,1.0,0.49,0.27,0.2,0.2,0.23,0.18,0.14,0.18,0.22,0.28,0.19,0.11,0.11,0.08,0.03,0.01,0.0,0.0,0.08,0.33,0.83,0.41,0.24,0.2,0.2,0.23,0.2,0.17,0.16,0.21,0.29,0.2,0.12,0.11,0.09,0.03,0.01,0.0,0.0,0.1,0.39,0.98,0.5,0.27,0.21,0.22,0.24,0.2,0.17,0.17,0.22,0.32,0.23,0.14,0.13,0.1,0.04,0.01,0.0,0.0,0.1,0.38,0.98,0.49,0.28,0.23,0.22,0.24,0.21,0.18,0.18,0.24,0.37,0.28,0.17,0.16,0.13,0.06,0.02,0.0,0.0,0.07,0.14,0.24,0.29,0.3,0.31,0.3,0.31,0.27,0.23,0.23,0.27,0.26,0.18,0.13,0.14,0.11,0.06,0.01,0.0,0.0,0.06,0.1,0.18,0.23,0.26,0.28,0.27,0.29,0.26,0.21,0.19,0.22,0.21,0.14,0.12,0.12,0.08,0.03,0
BL09 IN,0.02,0.0,0.0,0.11,0.42,0.95,0.47,0.26,0.21,0.21,0.23,0.19,0.16,0.18,0.21,0.32,0.23,0.16,0.12,0.09,0.05,0.02,0.0,0.0,0.11,0.42,1.0,0.49,0.26,0.21,0.19,0.21,0.18,0.14,0.19,0.21,0.28,0.19,0.12,0.11,0.09,0.04,0.02,0.0,0.0,0.09,0.35,0.84,0.4,0.23,0.19,0.21,0.23,0.19,0.14,0.16,0.21,0.3,0.21,0.14,0.14,0.11,0.05,0.02,0.0,0.0,0.11,0.42,0.96,0.51,0.26,0.21,0.23,0.23,0.19,0.16,0.18,0.23,0.33,0.23,0.16,0.14,0.11,0.05,0.02,0.0,0.0,0.11,0.42,0.98,0.49,0.28,0.21,0.23,0.23,0.19,0.18,0.18,0.25,0.37,0.28,0.16,0.16,0.14,0.05,0.02,0.0,0.0,0.09,0.14,0.25,0.3,0.3,0.32,0.3,0.3,0.25,0.23,0.21,0.28,0.26,0.19,0.14,0.14,0.12,0.07,0.02,0.0,0.0,0.05,0.12,0.19,0.23,0.25,0.28,0.25,0.26,0.25,0.21,0.19,0.23,0.19,0.16,0.12,0.11,0.09,0.04,0
BL10 IN,0.05,0.0,0.0,0.16,0.5,0.95,0.61,0.47,0.45,0.45,0.45,0.39,0.37,0.42,0.55,0.66,0.45,0.32,0.29,0.18,0.11,0.05,0.0,0.0,0.16,0.53,1.0,0.63,0.45,0.42,0.45,0.45,0.39,0.37,0.45,0.55,0.55,0.39,0.29,0.26,0.18,0.11,0.05,0.0,0.0,0.13,0.45,0.92,0.55,0.42,0.39,0.39,0.42,0.39,0.37,0.42,0.55,0.61,0.42,0.32,0.32,0.21,0.11,0.05,0.0,0.0,0.16,0.5,0.97,0.63,0.47,0.42,0.42,0.45,0.37,0.39,0.42,0.55,0.66,0.47,0.32,0.29,0.24,0.11,0.05,0.0,0.0,0.16,0.5,0.97,0.63,0.5,0.47,0.47,0.47,0.42,0.42,0.47,0.61,0.68,0.5,0.37,0.37,0.26,0.13,0.05,0.0,0.0,0.13,0.24,0.32,0.45,0.53,0.61,0.58,0.58,0.53,0.5,0.55,0.63,0.61,0.45,0.39,0.37,0.29,0.16,0.05,0.0,0.0,0.11,0.18,0.29,0.39,0.5,0.55,0.53,0.53,0.5,0.47,0.53,0.58,0.5,0.42,0.37,0.29,0.21,0.11,3
